sequence,wm_chap,term,also_see,defined_by_fname,defined_by_lname,citation_URL,defintion,,,,,,,,,,,,,,,,,,,
1,1,Access,,Temitope,Balogun,https://www.techopedia.com/definition/5413/access-security,"Access, in the context of security, is the privilege or assigned permission to use computer data or resources in some manner.",,,,,,,,,,,,,,,,,,,
2,1,Asset,,Jui,Begum,"Principles of Information Security, 6th Edition. Whitman and Mattord. Page 694: Glossary.","An Asset is any resource, be they tangible or digital. Examples are Information, Data, and Hardware such as Computer Systems.",,,,,,,,,,,,,,,,,,,
3,1,Attack ,,Robyn,Cabrera,"Principles of Information Security, 4th edition. Whitman and Mattord.  Chapter 1 - Introduction.","An intentional or unintentional act that can cause damage to or otherwise compromise information and/or the system that support it. It can be activer or passive, indirect or direct, and intentional or unintentional.",,,,,,,,,,,,,,,,,,,
4,1,Authenticity,,Jaber M,Galib,https://csrc.nist.gov/glossary/term/authenticity,The property that data originated from its purported source.,,,,,,,,,,,,,,,,,,,
5,1,Authorization,,Lauwens S,Joseph,https://www.merriam-webster.com/dictionary/authorization,The giving of acccess and permission to classified or restricted information or an area.,,,,,,,,,,,,,,,,,,,
6,1,Communications,,Vladyslav,Kalaida,https://tuckerhall.com/practices/digital/cybersecurity-communications/,Is the practice of preventing unauthorized interception/access of telecommunications traffic to its intended source.,,,,,,,,,,,,,,,,,,,
7,1,Confidentiality,,Jie Yuan,Lou,enter reference URL here,enter the definition as plain text here,,,,,,,,,,,,,,,,,,,
8,1,Control,"""Safegurd"", ""Countermeasure""",Subrina,Mahmood,"https://www.oreilly.com/library/view/sscp-systems-security/9780071771566/lev219.html#:~:text=The%20terms%20controls%2C%20safeguards%2C%20and,a%20vulnerability%20in%20a%20system.","The terms controls, safeguards, and countermeasures are often used interchangeably. In essence, they are means, methods, actions, techniques, processes, procedures, or devices that reduce the vulnerability of a system or the possibility of a threat exploiting a vulnerability in a system.",,,,,,,,,,,,,,,,,,,
9,1,Crosstalk,,Jeffrey,Mendez,https://www.merriam-webster.com/dictionary/cross%20talk,Unwanted signals in a communication channel caused by trasference of energy from another circuit.,,,,,,,,,,,,,,,,,,,
10,1,Data,,Raul,Miranda,https://techterms.com/definition/data,Data is any informative asset stored and processed by a computer.,,,,,,,,,,,,,,,,,,,
